Style,Color,Size,Quantity,style_n,size_n,color_n
50073,dark denim#2,S,143.0,50073,S,darkdenim2
50073,dark denim#2,M,287.0,50073,M,darkdenim2
50073,dark denim#2,L,296.0,50073,L,darkdenim2
50073,dark denim#2,XL,132.0,50073,XL,darkdenim2
50073,knit denim light denim,S,407.0,50073,S,knitdenimlightdenim
50073,knit denim light denim,M,815.0,50073,M,knitdenimlightdenim
50073,knit denim light denim,L,812.0,50073,L,knitdenimlightdenim
50073,knit denim light denim,XL,406.0,50073,XL,knitdenimlightdenim
50073,medium denim#3,S,251.0,50073,S,mediumdenim3
50073,medium denim#3,M,501.0,50073,M,mediumdenim3
50073,medium denim#3,L,505.0,50073,L,mediumdenim3
50073,medium denim#3,XL,245.0,50073,XL,mediumdenim3
50154,GREEN TEAL,XS,278.0,50154,XS,greenteal
50154,GREEN TEAL,S,164.0,50154,S,greenteal
50154,GREEN TEAL,M,-27.0,50154,M,greenteal
50154,GREEN TEAL,L,0.0,50154,L,greenteal
50154,GREEN TEAL,XL,0.0,50154,XL,greenteal
50194,WHITE,6,42.0,50194,6,white
50194,WHITE,8,118.0,50194,8,white
50194,WHITE,10,64.0,50194,10,white
50194,WHITE,12,89.0,50194,12,white
50194,WHITE,14,15.0,50194,14,white
50194,WHITE,16,28.0,50194,16,white
50199,BLACK TR & mill,XS,58.0,50199,XS,blacktrandmill
50199,BLACK TR & mill,S,146.0,50199,S,blacktrandmill
50199,BLACK TR & mill,M,177.0,50199,M,blacktrandmill
50199,BLACK TR & mill,L,201.0,50199,L,blacktrandmill
50199,BLACK TR & mill,XL,60.0,50199,XL,blacktrandmill
50199,DENIM mill,XS,45.0,50199,XS,denimmill
50199,DENIM mill,S,46.0,50199,S,denimmill
50199,DENIM mill,M,91.0,50199,M,denimmill
50199,DENIM mill,L,94.0,50199,L,denimmill
50199,DENIM mill,XL,95.0,50199,XL,denimmill
50199,FUSCHIA mill,XS,49.0,50199,XS,fuschiamill
50199,FUSCHIA mill,S,50.0,50199,S,fuschiamill
50199,FUSCHIA mill,M,47.0,50199,M,fuschiamill
50199,FUSCHIA mill,L,48.0,50199,L,fuschiamill
50199,FUSCHIA mill,XL,49.0,50199,XL,fuschiamill
50199,HEATHER GREY #1827,XS,42.0,50199,XS,heathergrey1827
50199,HEATHER GREY #1827,S,41.0,50199,S,heathergrey1827
50199,HEATHER GREY #1827,M,82.0,50199,M,heathergrey1827
50199,HEATHER GREY #1827,L,82.0,50199,L,heathergrey1827
50199,HEATHER GREY #1827,XL,91.0,50199,XL,heathergrey1827
50199,KHAKI TR& mill,XS,269.0,50199,XS,khakitrandmill
50199,KHAKI TR& mill,S,520.0,50199,S,khakitrandmill
50199,KHAKI TR& mill,M,401.0,50199,M,khakitrandmill
50199,KHAKI TR& mill,L,430.0,50199,L,khakitrandmill
50199,KHAKI TR& mill,XL,106.0,50199,XL,khakitrandmill
50199,NAVY mill,XS,46.0,50199,XS,navymill
50199,NAVY mill,S,42.0,50199,S,navymill
50199,NAVY mill,M,82.0,50199,M,navymill
50199,NAVY mill,L,85.0,50199,L,navymill
50199,NAVY mill,XL,91.0,50199,XL,navymill
50199,RED TR& mill,XS,85.0,50199,XS,redtrandmill
50199,RED TR& mill,S,132.0,50199,S,redtrandmill
50199,RED TR& mill,M,65.0,50199,M,redtrandmill
50199,RED TR& mill,L,61.0,50199,L,redtrandmill
50199,RED TR& mill,XL,-4.0,50199,XL,redtrandmill
50199,WHITE TR& mill,XS,90.0,50199,XS,whitetrandmill
50199,WHITE TR& mill,S,85.0,50199,S,whitetrandmill
50199,WHITE TR& mill,M,0.0,50199,M,whitetrandmill
50199,WHITE TR& mill,L,0.0,50199,L,whitetrandmill
50199,WHITE TR& mill,XL,-3.0,50199,XL,whitetrandmill
50199,WINE mill,XS,38.0,50199,XS,winemill
50199,WINE mill,S,37.0,50199,S,winemill
50199,WINE mill,M,86.0,50199,M,winemill
50199,WINE mill,L,93.0,50199,L,winemill
50199,WINE mill,XL,93.0,50199,XL,winemill
50283,APPLE GREEN,S,50.0,50283,S,apegreen
50283,APPLE GREEN,M,50.0,50283,M,apegreen
50283,APPLE GREEN,L,50.0,50283,L,apegreen
50283,APPLE GREEN,XL,50.0,50283,XL,apegreen
50283,BLACK,S,0.0,50283,S,black
50283,BLACK,M,1.0,50283,M,black
50283,BLACK,L,0.0,50283,L,black
50283,BLACK,XL,0.0,50283,XL,black
50283,DENIM,S,50.0,50283,S,denim
50283,DENIM,M,50.0,50283,M,denim
50283,DENIM,L,50.0,50283,L,denim
50283,DENIM,XL,50.0,50283,XL,denim
50283,KHAKI,S,50.0,50283,S,khaki
50283,KHAKI,M,50.0,50283,M,khaki
50283,KHAKI,L,50.0,50283,L,khaki
50283,KHAKI,XL,50.0,50283,XL,khaki
50283,MELON,S,50.0,50283,S,melon
50283,MELON,M,50.0,50283,M,melon
50283,MELON,L,50.0,50283,L,melon
50283,MELON,XL,50.0,50283,XL,melon
50283,NAVY,S,8.0,50283,S,navy
50283,NAVY,M,40.0,50283,M,navy
50283,NAVY,L,16.0,50283,L,navy
50283,NAVY,XL,8.0,50283,XL,navy
50283,RED,S,7.0,50283,S,red
50283,RED,M,11.0,50283,M,red
50283,RED,L,8.0,50283,L,red
50283,RED,XL,0.0,50283,XL,red
50283,RED CORAL,S,50.0,50283,S,redcoral
50283,RED CORAL,M,50.0,50283,M,redcoral
50283,RED CORAL,L,50.0,50283,L,redcoral
50283,RED CORAL,XL,50.0,50283,XL,redcoral
50283,SUNLIGHT,S,50.0,50283,S,sunlight
50283,SUNLIGHT,M,50.0,50283,M,sunlight
50283,SUNLIGHT,L,50.0,50283,L,sunlight
50283,SUNLIGHT,XL,50.0,50283,XL,sunlight
50283,WHITE,S,50.0,50283,S,white
50283,WHITE,M,50.0,50283,M,white
50283,WHITE,L,50.0,50283,L,white
50283,WHITE,XL,50.0,50283,XL,white
50337,BLACK,S,215.0,50337,S,black
50337,BLACK,M,272.0,50337,M,black
50337,BLACK,L,377.0,50337,L,black
50337,BLACK,XL,308.0,50337,XL,black
50337,BLUE RADIANCE,S,100.0,50337,S,blueradiance
50337,BLUE RADIANCE,M,150.0,50337,M,blueradiance
50337,BLUE RADIANCE,L,150.0,50337,L,blueradiance
50337,BLUE RADIANCE,XL,100.0,50337,XL,blueradiance
50337,DENIM,S,100.0,50337,S,denim
50337,DENIM,M,150.0,50337,M,denim
