SKU,Actual Size On TEMU,Quantity,Tracking
0066BachelorButtonPL,深天蓝 / petite M,1,9300111038400045888131
0066BlackL,黑色 / L,1,9334611038400006608350
0066BlackPXL,黑色 / petite L,1,9300111038400045888520
0066BlackXL,黑色 / XL,1,9300111038400045888100
0066DazzlingBlueL,道奇蓝 / L,1,9334611038400006608350
0066NileL,抹茶色 / L,1,9300111038400045888483
0066NileL,抹茶色 / L,1,9334611038400006608350
0066PinkYarrowPXL,深粉红 / petite L,1,9300111038400045888155
0066PrismPinkL,藕色 / L,1,9334611038400006608350
0066PrismPinkPL,浅紫色 / petite M,1,9334611038400006608367
0066PrismPinkPXL,浅紫色 / petite L,1,9300111038400045888520
0066SeafoamPL,浅蓝色 / petite M,1,9334611038400006608367
0066SeafoamXL,浅蓝色 / XL,1,9300111038400045888223
0066SilverPXL,银灰色 / petite L,1,9300111038400045888520
0066SkivvyPinkL,杏色 / L,1,9334611038400006608350
0066StoneL,小麦色 / L,1,9300111038400045888476
0066StoneM,小麦色 / M,1,9300111038400045888605
0066SummerGreenL,绿黄色 / L,1,9334611038400006608350
0066SummerGreenPL,翠绿色 / petite M,1,9334611038400006608367
0066SummerGreenXL,绿黄色 / XL,1,9300111038400045888223
0066SummerGreenXL,绿黄色 / XL,1,9300111038400045888315
0066SunlightM,黄色 / M,1,9300111038400045888407
0066SunlightPL,黄色 / petite M,1,9334611038400006608367
0069SeafogL,Seafog / L,1,9300111038400045888414
0069SeafogM,Seafog / M,1,9300111038400045888452
0069SummerGreenL,SummerGreen / L,1,9300111038400046024026
0069SummerGreenXL,SummerGreen / XL,1,9300111038400046023494
0069WhiteL,White / L,1,9300111038400045888063
0069WhiteXL,White / XL,1,9300111038400045888162
0071LivingCoralL,Living Coral / L,1,9300111038400046042464
0071LivingCoralXL,Living Coral / XL,1,9300111038400046042549
0071PrismPinkL,Prism Pink / L,1,9300111038400046041801
0071SilverM,Silver / M,1,9300111038400045869758
0161 black Size 10,黑色 / M,1,9300111038400045978795
017 white M,白色 / M,1,9300111038400045978856
017 white S,白色 / S,1,9300111038400045978511
